fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
22041,Franklin Parish,LA,16.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
22055,Lafayette Parish,LA,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
22061,Lincoln Parish,LA,90.0,19.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,3.0,2.0,42.0,6.0,1.0,0.0
22069,Natchitoches Parish,LA,144.0,28.0,0.0,12.0,21.0,2.0,5.0,1.0,0.0,4.0,5.0,33.0,30.0,1.0,2.0
22071,Orleans Parish,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22073,Ouachita Parish,LA,1117.0,187.0,2.0,107.0,94.0,28.0,10.0,22.0,37.0,31.0,28.0,256.0,268.0,11.0,36.0
22079,Rapides Parish,LA,405.0,89.0,0.0,35.0,44.0,4.0,2.0,11.0,10.0,8.0,14.0,92.0,81.0,4.0,11.0
22083,Richland Parish,LA,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
22097,St. Landry Parish,LA,235.0,37.0,0.0,13.0,20.0,6.0,4.0,5.0,6.0,9.0,5.0,60.0,61.0,0.0,9.0
22105,Tangipahoa Parish,LA,207.0,41.0,0.0,18.0,9.0,9.0,4.0,7.0,10.0,0.0,4.0,47.0,44.0,4.0,10.0
22111,Union Parish,LA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
22115,Vernon Parish,LA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22119,Webster Parish,LA,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22123,West Carroll Parish,LA,32.0,5.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,4.0,4.0
24003,Anne Arundel County,MD,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24031,Montgomery County,MD,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
24045,Wicomico County,MD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26021,Berrien County,MI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26049,Genesee County,MI,10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
26065,Ingham County,MI,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
26081,Kent County,MI,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0
26093,Livingston County,MI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26099,Macomb County,MI,16.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0
26125,Oakland County,MI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26163,Wayne County,MI,24.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,10.0,5.0,0.0,1.0
28003,Alcorn County,MS,93.0,10.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,57.0,11.0,1.0,1.0
28047,Harrison County,MS,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28049,Hinds County,MS,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28073,Lamar County,MS,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28081,Lee County,MS,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
29019,Boone County,MO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29029,Camden County,MO,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
29077,Greene County,MO,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29186,Ste. Genevieve County,MO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29510,St. Louis City County,MO,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32003,Clark County,NV,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
33009,Grafton County,NH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34003,Bergen County,NJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34011,Cumberland County,NJ,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
34013,Essex County,NJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36103,Suffolk County,NY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37021,Buncombe County,NC,360.0,46.0,1.0,42.0,59.0,16.0,2.0,3.0,4.0,19.0,18.0,10.0,115.0,7.0,18.0
37023,Burke County,NC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
37051,Cumberland County,NC,312.0,26.0,0.0,34.0,33.0,11.0,10.0,12.0,9.0,6.0,9.0,97.0,38.0,17.0,10.0
